Index,nevent,transmitterID,ntransmission,size,size_diff,sex,rms_diff,sharkID
1,1,11,5,284,-36,0,-30.65125598,GS22
2,2,11,4,284,-36,0,-46.10928432,GS22
3,3,11,1,284,-36,0,-73.07849731,GS22
4,4,16,1,325,5,0,-53.5893513,GS22
5,5,16,1,325,5,0,-34.04892723,GS22
6,6,16,1,325,5,0,-35.59277843,GS22
7,7,17,4,284,-36,0,198.506066,GS22
8,8,17,1,284,-36,0,-57.44352039,GS22
9,9,1,1,292,-28,1,19.97781544,GS22
10,10,1,4,292,-28,1,-45.82338703,GS22
11,11,1,1,292,-28,1,-20.9297234,GS22
12,12,1,2,292,-28,1,45.50690738,GS22
13,13,1,1,292,-28,1,157.4256986,GS22
14,14,1,1,292,-28,1,-67.83365579,GS22
15,15,20,6,259,-61,1,68.63871009,GS22
16,16,20,2,259,-61,1,1.931694176,GS22
17,17,20,1,259,-61,1,13.95207878,GS22
18,18,20,3,259,-61,1,-64.27250955,GS22
19,19,20,1,259,-61,1,-52.01402093,GS22
20,20,21,2,286,-34,0,119.3186841,GS22
21,21,21,1,286,-34,0,10.35373907,GS22
22,22,21,4,286,-34,0,4.637419308,GS22
23,23,21,1,286,-34,0,5.672112847,GS22
24,24,9,2,313,-7,0,-33.71975036,GS22
25,25,9,1,313,-7,0,90.57646538,GS22
26,26,9,2,313,-7,0,199.9479657,GS22
27,27,9,1,313,-7,0,281.9803491,GS22
28,1,27,1,270,5,0,-62.457722,GS28
29,2,27,2,270,5,0,165.9521834,GS28
30,3,27,1,270,5,0,50.33312346,GS28
31,1,17,1,284,-46,0,13.57953084,GS36
32,2,17,4,284,-46,0,82.95694466,GS36
33,3,17,1,284,-46,0,90.69452821,GS36
34,4,1,1,292,-38,1,-49.69914418,GS36
35,5,1,6,292,-38,1,-77.89066006,GS36
36,6,1,1,292,-38,1,-45.59980849,GS36
37,7,1,2,292,-38,1,-74.56868835,GS36
38,8,1,4,292,-38,1,20.34749163,GS36
39,9,1,1,292,-38,1,-46.1525439,GS36
40,10,1,4,292,-38,1,-44.11768297,GS36
41,11,29,2,255,-75,0,-28.29017552,GS36
42,12,29,1,255,-75,0,-48.98534685,GS36
43,13,29,1,255,-75,0,135.3788955,GS36
44,14,29,1,255,-75,0,123.9549384,GS36
45,15,29,2,255,-75,0,63.85968244,GS36
